Customer ID,Signup Date,Acquisition Month,Channel,CAC CAD,Activated,Activation Date,Active Day 30,Active Day 60,Active Day 90,Active Day 180,Days Active,Monthly Revenue CAD,Customer Segment
NP00632,2024-01-01,2024-01,Email Campaign,21.1,Yes,2024-01-01,No,No,No,No,10,1.9409999999999998,Churned
NP01551,2024-01-01,2024-01,Paid Social,104.01,Yes,2024-01-02,Yes,No,No,No,12,3.6869999999999994,Churned
NP01700,2024-01-01,2024-01,Referral,60.67,Yes,2024-01-04,Yes,Yes,Yes,Yes,128,28.41,High Value
NP01749,2024-01-01,2024-01,Organic Search,33.59,Yes,2024-01-04,Yes,No,No,No,11,5.178,Churned
NP00412,2024-01-02,2024-01,Referral,57.05,Yes,2024-01-04,Yes,Yes,Yes,Yes,125,27.81,High Value
NP01158,2024-01-02,2024-01,Paid Social,49.55,No,,No,No,No,No,0,0,Churned
NP01783,2024-01-02,2024-01,Organic Search,39.96,Yes,2024-01-04,Yes,No,No,No,17,6.942,Churned
NP01945,2024-01-02,2024-01,Organic Search,35.92,Yes,2024-01-04,Yes,Yes,Yes,Yes,152,14.89,Medium Value
NP00498,2024-01-03,2024-01,Paid Social,107.09,No,,No,No,No,No,0,0,Churned
NP00674,2024-01-03,2024-01,Paid Social,73.06,No,,No,No,No,No,0,0,Churned
NP00808,2024-01-03,2024-01,Email Campaign,8.49,Yes,2024-01-05,No,No,No,No,4,1.908,Churned
NP01075,2024-01-03,2024-01,Email Campaign,20.31,Yes,2024-01-03,No,No,No,No,5,0.255,Churned
NP01473,2024-01-03,2024-01,Paid Social,87.76,Yes,2024-01-03,Yes,Yes,Yes,Yes,120,0,Low Value
NP01704,2024-01-03,2024-01,Paid Social,57.23,Yes,2024-01-05,No,No,No,No,3,3.798,Churned
NP02213,2024-01-03,2024-01,Email Campaign,12.52,Yes,2024-01-03,No,No,No,No,8,3.0269999999999997,Churned
NP02252,2024-01-03,2024-01,Referral,54.54,No,,No,No,No,No,0,0,Churned
NP00062,2024-01-04,2024-01,Paid Social,75.1,Yes,2024-01-05,Yes,Yes,Yes,Yes,170,14.11,Medium Value
NP01241,2024-01-04,2024-01,Referral,46.42,Yes,2024-01-04,No,No,No,No,1,4.743,Churned
NP01856,2024-01-04,2024-01,Organic Search,26.23,Yes,2024-01-07,Yes,Yes,Yes,Yes,157,10.64,Low Value
NP00590,2024-01-05,2024-01,Email Campaign,17.64,No,,No,No,No,No,0,0,Churned
NP01362,2024-01-05,2024-01,Email Campaign,25.24,No,,No,No,No,No,0,0,Churned
NP02349,2024-01-05,2024-01,Paid Social,78.19,No,,No,No,No,No,0,0,Churned
NP01171,2024-01-06,2024-01,Referral,61.86,Yes,2024-01-06,Yes,No,No,No,15,11.036999999999999,Churned
NP01893,2024-01-06,2024-01,Paid Social,87.77,No,,No,No,No,No,0,0,Churned
NP01973,2024-01-06,2024-01,Referral,36.71,Yes,2024-01-09,Yes,No,No,No,30,2.121,Churned
NP02055,2024-01-06,2024-01,Organic Search,48.25,Yes,2024-01-07,Yes,Yes,Yes,Yes,142,27.33,High Value
NP02150,2024-01-06,2024-01,Email Campaign,9.9,Yes,2024-01-07,Yes,Yes,Yes,Yes,140,4.96,Low Value
NP00231,2024-01-07,2024-01,Referral,65.76,No,,No,No,No,No,0,0,Churned
NP00449,2024-01-07,2024-01,Referral,64.32,Yes,2024-01-10,Yes,Yes,Yes,Yes,133,24.62,Medium Value
NP00710,2024-01-07,2024-01,Paid Social,86.08,No,,No,No,No,No,0,0,Churned
NP00807,2024-01-07,2024-01,Referral,44.04,Yes,2024-01-08,No,No,No,No,8,2.502,Churned
NP01045,2024-01-07,2024-01,Paid Social,117.78,Yes,2024-01-07,Yes,No,No,No,27,4.505999999999999,Churned
NP00166,2024-01-08,2024-01,Organic Search,39.58,Yes,2024-01-08,No,No,No,No,8,5.303999999999999,Churned
NP00376,2024-01-08,2024-01,Organic Search,29.92,No,,No,No,No,No,0,0,Churned
NP00393,2024-01-08,2024-01,Referral,42.5,Yes,2024-01-08,No,No,No,No,1,8.907,Churned
NP01458,2024-01-08,2024-01,Organic Search,27.03,Yes,2024-01-08,Yes,Yes,Yes,Yes,176,23.54,Medium Value
NP01785,2024-01-08,2024-01,Organic Search,32.68,Yes,2024-01-09,Yes,Yes,Yes,Yes,129,10.96,Low Value
NP02371,2024-01-08,2024-01,Paid Social,81.54,Yes,2024-01-10,Yes,Yes,No,No,53,2.922,Churned
NP00175,2024-01-09,2024-01,Paid Social,77.52,No,,No,No,No,No,0,0,Churned
NP00261,2024-01-09,2024-01,Paid Social,54.19,No,,No,No,No,No,0,0,Churned
NP00699,2024-01-09,2024-01,Paid Social,116.34,Yes,2024-01-10,Yes,Yes,Yes,No,62,20.87,Medium Value
NP00744,2024-01-09,2024-01,Paid Social,99.4,No,,No,No,No,No,0,0,Churned
NP00883,2024-01-09,2024-01,Referral,74.53,Yes,2024-01-12,No,No,No,No,6,0.039,Churned
NP00968,2024-01-09,2024-01,Email Campaign,15.25,Yes,2024-01-10,No,No,No,No,6,4.898999999999999,Churned
NP01196,2024-01-09,2024-01,Organic Search,50.31,No,,No,No,No,No,0,0,Churned
NP01315,2024-01-09,2024-01,Referral,71.32,Yes,2024-01-12,No,No,No,No,9,7.644,Churned
NP01876,2024-01-09,2024-01,Email Campaign,23.86,Yes,2024-01-10,No,No,No,No,3,2.8619999999999997,Churned
NP01136,2024-01-10,2024-01,Referral,63.84,Yes,2024-01-10,Yes,Yes,Yes,Yes,180,7.03,Low Value
NP01317,2024-01-10,2024-01,Email Campaign,15.2,Yes,2024-01-10,No,No,No,No,1,0.192,Churned
NP00134,2024-01-11,2024-01,Email Campaign,10.19,Yes,2024-01-13,No,No,No,No,5,2.721,Churned
NP00636,2024-01-11,2024-01,Paid Social,82.91,Yes,2024-01-12,No,No,No,No,3,9.123,Churned
NP00780,2024-01-11,2024-01,Paid Social,76.32,Yes,2024-01-14,No,No,No,No,6,4.053,Churned
NP01437,2024-01-11,2024-01,Paid Social,139.43,No,,No,No,No,No,0,0,Churned
NP00422,2024-01-12,2024-01,Organic Search,30.23,Yes,2024-01-12,Yes,Yes,Yes,Yes,143,18.08,Medium Value
NP00653,2024-01-12,2024-01,Paid Social,92.46,Yes,2024-01-13,No,No,No,No,2,2.838,Churned
NP00683,2024-01-12,2024-01,Paid Social,110.73,Yes,2024-01-13,No,No,No,No,7,5.3999999999999995,Churned
NP00851,2024-01-12,2024-01,Paid Social,104.89,No,,No,No,No,No,0,0,Churned
NP02067,2024-01-12,2024-01,Referral,36.2,Yes,2024-01-13,No,No,No,No,10,7.332,Churned
NP02251,2024-01-12,2024-01,Paid Social,74.17,Yes,2024-01-13,Yes,Yes,Yes,No,97,8.74,Low Value
NP00696,2024-01-13,2024-01,Organic Search,29.5,Yes,2024-01-13,No,No,No,No,6,2.553,Churned
NP01806,2024-01-13,2024-01,Referral,51.5,Yes,2024-01-15,No,No,No,No,8,1.437,Churned
NP00915,2024-01-14,2024-01,Paid Social,91.4,Yes,2024-01-17,No,No,No,No,5,7.866,Churned
NP01072,2024-01-14,2024-01,Paid Social,85.84,Yes,2024-01-16,No,No,No,No,1,1.926,Churned
NP01257,2024-01-14,2024-01,Paid Social,82.76,Yes,2024-01-17,Yes,Yes,Yes,No,80,14.67,Medium Value
NP01350,2024-01-14,2024-01,Paid Social,102.51,No,,No,No,No,No,0,0,Churned
NP02316,2024-01-14,2024-01,Paid Social,90.46,No,,No,No,No,No,0,0,Churned
NP00447,2024-01-15,2024-01,Email Campaign,9.48,Yes,2024-01-15,Yes,Yes,Yes,No,100,13.66,Medium Value
NP00929,2024-01-15,2024-01,Organic Search,35.31,No,,No,No,No,No,0,0,Churned
NP01217,2024-01-15,2024-01,Paid Social,36.35,Yes,2024-01-18,No,No,No,No,3,0.735,Churned
NP02058,2024-01-15,2024-01,Paid Social,90.82,No,,No,No,No,No,0,0,Churned
NP00048,2024-01-16,2024-01,Paid Social,60.84,Yes,2024-01-18,No,No,No,No,9,0.9959999999999999,Churned
NP00378,2024-01-16,2024-01,Paid Social,99.77,Yes,2024-01-18,No,No,No,No,9,3.195,Churned
NP00459,2024-01-16,2024-01,Paid Social,57.39,Yes,2024-01-19,Yes,Yes,Yes,Yes,153,9.5,Low Value
NP01320,2024-01-16,2024-01,Organic Search,50.06,No,,No,No,No,No,0,0,Churned
NP02007,2024-01-16,2024-01,Referral,57.47,Yes,2024-01-16,No,No,No,No,6,8.655,Churned
NP00802,2024-01-17,2024-01,Paid Social,100.21,Yes,2024-01-17,No,No,No,No,2,3.6719999999999997,Churned
NP00916,2024-01-17,2024-01,Paid Social,88.76,No,,No,No,No,No,0,0,Churned
NP01383,2024-01-17,2024-01,Organic Search,54.76,Yes,2024-01-20,No,No,No,No,1,2.2169999999999996,Churned
NP00668,2024-01-18,2024-01,Organic Search,40.52,Yes,2024-01-21,Yes,Yes,Yes,No,103,19.28,Medium Value
NP01563,2024-01-18,2024-01,Organic Search,36.26,Yes,2024-01-19,Yes,Yes,Yes,Yes,138,20.09,Medium Value
NP01795,2024-01-18,2024-01,Paid Social,84.52,No,,No,No,No,No,0,0,Churned
NP00296,2024-01-19,2024-01,Organic Search,41.01,No,,No,No,No,No,0,0,Churned
NP00308,2024-01-19,2024-01,Paid Social,60.83,No,,No,No,No,No,0,0,Churned
NP00751,2024-01-19,2024-01,Referral,63.49,Yes,2024-01-21,Yes,Yes,Yes,Yes,180,22.32,Medium Value
NP01260,2024-01-19,2024-01,Paid Social,77.92,Yes,2024-01-22,Yes,Yes,Yes,Yes,139,16.23,Medium Value
NP01718,2024-01-19,2024-01,Paid Social,65.2,Yes,2024-01-19,Yes,Yes,No,No,57,2.211,Churned
NP02201,2024-01-19,2024-01,Organic Search,40.17,No,,No,No,No,No,0,0,Churned
NP02393,2024-01-19,2024-01,Referral,48.03,Yes,2024-01-19,Yes,Yes,Yes,Yes,132,31.17,High Value
NP00148,2024-01-20,2024-01,Referral,53.73,Yes,2024-01-23,Yes,Yes,Yes,Yes,150,9.76,Low Value
NP00216,2024-01-20,2024-01,Paid Social,103.17,Yes,2024-01-23,Yes,Yes,Yes,Yes,142,11.96,Low Value
NP01119,2024-01-20,2024-01,Email Campaign,30.54,No,,No,No,No,No,0,0,Churned
NP01179,2024-01-20,2024-01,Referral,46.42,No,,No,No,No,No,0,0,Churned
NP01521,2024-01-20,2024-01,Paid Social,89.76,Yes,2024-01-22,Yes,Yes,Yes,Yes,141,27.33,High Value
NP01696,2024-01-20,2024-01,Email Campaign,13.24,Yes,2024-01-21,Yes,Yes,Yes,Yes,161,8.93,Low Value
NP01705,2024-01-20,2024-01,Organic Search,47.62,Yes,2024-01-21,Yes,Yes,Yes,Yes,175,39.08,High Value
NP01878,2024-01-20,2024-01,Paid Social,90.15,Yes,2024-01-20,No,No,No,No,4,1.293,Churned
NP00375,2024-01-21,2024-01,Paid Social,104.19,Yes,2024-01-21,No,No,No,No,9,0,Churned
NP01505,2024-01-21,2024-01,Organic Search,51.02,No,,No,No,No,No,0,0,Churned
NP01723,2024-01-21,2024-01,Email Campaign,5,No,,No,No,No,No,0,0,Churned
NP01744,2024-01-21,2024-01,Organic Search,32.72,Yes,2024-01-24,No,No,No,No,5,10.482,Churned
NP02009,2024-01-21,2024-01,Referral,55.17,Yes,2024-01-22,No,No,No,No,8,8.928,Churned
NP00778,2024-01-22,2024-01,Referral,71.59,Yes,2024-01-23,Yes,Yes,Yes,Yes,133,18.08,Medium Value
NP01206,2024-01-22,2024-01,Paid Social,62.17,No,,No,No,No,No,0,0,Churned
NP01762,2024-01-22,2024-01,Email Campaign,27.9,Yes,2024-01-24,No,No,No,No,8,4.734,Churned
NP01915,2024-01-22,2024-01,Organic Search,42.63,Yes,2024-01-22,No,No,No,No,6,5.0249999999999995,Churned
NP00568,2024-01-23,2024-01,Email Campaign,10.33,Yes,2024-01-23,Yes,Yes,Yes,No,92,0,Low Value
NP01390,2024-01-24,2024-01,Organic Search,38.62,Yes,2024-01-25,Yes,Yes,Yes,Yes,162,24.65,Medium Value
NP00893,2024-01-25,2024-01,Paid Social,94.23,Yes,2024-01-26,No,No,No,No,6,5.832,Churned
NP01671,2024-01-25,2024-01,Paid Social,86.87,Yes,2024-01-25,No,No,No,No,9,5.253,Churned
NP01834,2024-01-25,2024-01,Email Campaign,17.07,Yes,2024-01-27,Yes,No,No,No,22,0,Churned
NP00789,2024-01-26,2024-01,Organic Search,50.68,Yes,2024-01-29,No,No,No,No,1,3.867,Churned
NP01343,2024-01-26,2024-01,Organic Search,26.62,Yes,2024-01-26,Yes,Yes,Yes,No,63,17.22,Medium Value
NP01378,2024-01-26,2024-01,Email Campaign,10.31,Yes,2024-01-26,Yes,Yes,Yes,No,109,5.52,Low Value
NP01431,2024-01-26,2024-01,Organic Search,32.73,No,,No,No,No,No,0,0,Churned
NP00026,2024-01-27,2024-01,Referral,72.0,No,,No,No,No,No,0,0,Churned
NP00287,2024-01-27,2024-01,Email Campaign,25.41,No,,No,No,No,No,0,0,Churned
NP00906,2024-01-27,2024-01,Organic Search,43.78,No,,No,No,No,No,0,0,Churned
NP01644,2024-01-27,2024-01,Paid Social,69.07,Yes,2024-01-28,No,No,No,No,1,0,Churned
NP00496,2024-01-28,2024-01,Referral,62.29,Yes,2024-01-30,Yes,Yes,Yes,Yes,154,13.44,Medium Value
NP00853,2024-01-28,2024-01,Organic Search,23.34,Yes,2024-01-28,No,No,No,No,5,5.859,Churned
NP01620,2024-01-28,2024-01,Paid Social,100.6,Yes,2024-01-28,No,No,No,No,7,1.539,Churned
NP01804,2024-01-28,2024-01,Organic Search,25.3,Yes,2024-01-30,Yes,Yes,Yes,Yes,129,15.21,Medium Value
NP02005,2024-01-28,2024-01,Referral,65.79,Yes,2024-01-31,Yes,Yes,No,No,49,3.126,Churned
NP00313,2024-01-29,2024-01,Organic Search,41.3,Yes,2024-02-01,Yes,Yes,Yes,Yes,177,11.7,Low Value
NP01245,2024-01-29,2024-01,Referral,83.46,Yes,2024-02-01,Yes,Yes,Yes,Yes,154,39.98,High Value
NP00613,2024-01-30,2024-01,Email Campaign,22.03,Yes,2024-01-30,Yes,No,No,No,17,4.146,Churned
NP01265,2024-01-30,2024-01,Paid Social,111.26,Yes,2024-01-31,Yes,No,No,No,28,4.9079999999999995,Churned
NP02299,2024-01-30,2024-01,Paid Social,91.77,No,,No,No,No,No,0,0,Churned
NP00246,2024-01-31,2024-01,Paid Social,122.7,No,,No,No,No,No,0,0,Churned
NP00534,2024-01-31,2024-01,Paid Social,104.79,No,,No,No,No,No,0,0,Churned
NP00847,2024-01-31,2024-01,Organic Search,51.88,Yes,2024-01-31,Yes,Yes,Yes,Yes,158,17.58,Medium Value
NP01124,2024-01-31,2024-01,Referral,47.05,Yes,2024-02-01,No,No,No,No,10,9.036,Churned
NP01335,2024-01-31,2024-01,Organic Search,48.96,Yes,2024-02-03,No,No,No,No,4,7.946999999999999,Churned
NP01448,2024-01-31,2024-01,Organic Search,33.5,Yes,2024-01-31,Yes,Yes,Yes,Yes,121,22.06,Medium Value
NP01820,2024-01-31,2024-01,Paid Social,89.06,Yes,2024-02-02,Yes,Yes,Yes,No,96,21.92,Medium Value
NP01922,2024-01-31,2024-01,Referral,64.9,Yes,2024-01-31,Yes,Yes,Yes,No,95,30.12,High Value
NP00035,2024-02-01,2024-02,Referral,45.48,Yes,2024-02-02,Yes,Yes,Yes,Yes,124,16.92,Medium Value
NP00193,2024-02-01,2024-02,Paid Social,70.72,Yes,2024-02-01,Yes,Yes,Yes,Yes,161,6.54,Low Value
NP00195,2024-02-01,2024-02,Email Campaign,26.47,No,,No,No,No,No,0,0,Churned
NP00336,2024-02-01,2024-02,Email Campaign,19.09,Yes,2024-02-02,No,No,No,No,7,3.4349999999999996,Churned
NP00467,2024-02-01,2024-02,Organic Search,27.49,No,,No,No,No,No,0,0,Churned
NP01278,2024-02-01,2024-02,Email Campaign,6.72,Yes,2024-02-03,Yes,Yes,No,No,48,2.592,Churned
NP02092,2024-02-01,2024-02,Referral,60.48,Yes,2024-02-01,No,No,No,No,1,9.924,Churned
NP00076,2024-02-02,2024-02,Paid Social,65.39,Yes,2024-02-03,Yes,Yes,Yes,No,94,7.37,Low Value
NP00191,2024-02-02,2024-02,Organic Search,23.72,No,,No,No,No,No,0,0,Churned
NP00937,2024-02-02,2024-02,Organic Search,43.11,No,,No,No,No,No,0,0,Churned
NP01368,2024-02-02,2024-02,Referral,51.55,Yes,2024-02-05,Yes,No,No,No,15,2.796,Churned
NP01759,2024-02-02,2024-02,Organic Search,22.5,Yes,2024-02-04,Yes,Yes,Yes,Yes,174,15.4,Medium Value
NP01816,2024-02-02,2024-02,Paid Social,88.07,Yes,2024-02-03,Yes,Yes,Yes,Yes,153,0,Low Value
NP02247,2024-02-02,2024-02,Referral,51.76,Yes,2024-02-05,Yes,Yes,Yes,Yes,159,14.27,Medium Value
NP01052,2024-02-03,2024-02,Paid Social,76.53,No,,No,No,No,No,0,0,Churned
NP01927,2024-02-03,2024-02,Paid Social,103.02,Yes,2024-02-06,No,No,No,No,2,0.018,Churned
NP00110,2024-02-04,2024-02,Referral,55.02,Yes,2024-02-04,Yes,Yes,Yes,Yes,147,21.6,Medium Value
NP00961,2024-02-04,2024-02,Referral,77.14,Yes,2024-02-06,Yes,Yes,Yes,Yes,174,22.47,Medium Value
